local,genero,data,salario
"*, *, Portugal",*,*/10/1980,$3090.80
"*, *, Portugal",*,*/10/1980,$7622.47
"*, *, Portugal",*,*/10/1980,$1653.56
"*, *, Portugal",*,*/10/1980,$6314.95
"*, *, Portugal",Male,*/*/*,$7552.80
"*, *, Portugal",Male,*/*/*,$7296.43
"*, *, Portugal",Male,*/*/*,$3200.30
"*, *, Portugal",Male,*/*/*,$7386.55
"*, *, *",Male,*/*/1984,$4443.31
"*, *, *",Male,*/*/1984,$2420.72
"*, *, *",Male,*/*/1984,$2661.36
"*, *, *",Male,*/*/1984,$5530.85
"*, Texas, United States",Male,*/*/*,$2735.48
"*, Texas, United States",Male,*/*/*,$4941.92
"*, Texas, United States",Male,*/*/*,$4000.92
"*, Texas, United States",Male,*/*/*,$1059.41
"*, *, Portugal",Female,*/*/*,$1684.26
"*, *, Portugal",Female,*/*/*,$7659.54
"*, *, Portugal",Female,*/*/*,$7202.43
"*, *, Portugal",Female,*/*/*,$7847.46
"*, *, Portugal",Female,*/*/*,$1575.77
"*, *, Portugal",Female,*/*/*,$7077.49
"*, *, Portugal",Female,*/*/*,$3572.00
"*, *, Portugal",Female,*/*/*,$4772.43
"*, *, United States",Male,*/*/2007,$1681.00
"*, *, United States",Male,*/*/2007,$813.67
"*, *, United States",Male,*/*/2007,$3435.80
"*, *, United States",Male,*/*/2007,$2476.57
"*, Aveiro, Portugal",Male,*/*/*,$1618.95
"*, Aveiro, Portugal",Male,*/*/*,$5979.17
"*, Aveiro, Portugal",Male,*/*/*,$6842.64
"*, Aveiro, Portugal",Male,*/*/*,$1247.98
"*, *, Sweden",Female,*/*/*,$5057.22
"*, *, Sweden",Female,*/*/*,$7718.13
"*, *, Sweden",Female,*/*/*,$3028.28
"*, *, Sweden",Female,*/*/*,$3873.74
"*, Veracruz Llave, Mexico",Male,*/*/*,$4856.16
"*, Veracruz Llave, Mexico",Male,*/*/*,$6995.08
"*, Veracruz Llave, Mexico",Male,*/*/*,$4430.56
"*, Veracruz Llave, Mexico",Male,*/*/*,$4663.81
"*, *, Mexico",*,*/*/2000,$5966.72
"*, *, Mexico",*,*/*/2000,$7103.44
"*, *, Mexico",*,*/*/2000,$1126.55
"*, *, Mexico",*,*/*/2000,$7718.68
"*, *, *",Male,*/10/1986,$1318.68
"*, *, *",Male,*/10/1986,$5150.96
"*, *, *",Male,*/10/1986,$6068.22
"*, *, *",Male,*/10/1986,$2881.34
"*, *, *",Female,*/*/*,$7202.18
"*, *, *",Female,*/*/*,$6552.66
"*, *, *",Female,*/*/*,$4627.92
"*, *, *",Female,*/*/*,$7096.91
"*, *, Sweden",Female,*/*/*,$4966.48
"*, *, Sweden",Female,*/*/*,$1916.17
"*, *, Sweden",Female,*/*/*,$7586.61
"*, *, Sweden",Female,*/*/*,$3800.57
"*, *, Sweden",Female,*/*/*,$6250.72
"*, *, Sweden",Female,*/*/*,$4941.80
"*, *, Sweden",Female,*/*/*,$3615.07
"*, *, Sweden",Female,*/*/*,$7201.47
"*, California, United States",Male,*/*/*,$4979.70
"*, California, United States",Male,*/*/*,$1900.04
"*, California, United States",Male,*/*/*,$6841.99
"*, California, United States",Male,*/*/*,$3362.11
"*, *, France",Female,*/*/*,$7606.13
"*, *, France",Female,*/*/*,$6325.50
"*, *, France",Female,*/*/*,$1907.75
"*, *, France",Female,*/*/*,$4796.47
"*, *, France",Male,*/*/*,$4254.84
"*, *, France",Male,*/*/*,$4879.99
"*, *, France",Male,*/*/*,$1492.88
"*, *, France",Male,*/*/*,$3542.00
"*, *, Sweden",Female,*/*/*,$2385.94
"*, *, Sweden",Female,*/*/*,$4874.88
"*, *, Sweden",Female,*/*/*,$4407.88
"*, *, Sweden",Female,*/*/*,$1322.83
"Göteborg, Västra Götaland, Sweden",Male,*/*/*,$7924.89
