local,genero,data,salario
"Coaldale, Alberta, Canada",Male,**/**/****,$3609.17
"Coaldale, Alberta, Canada",Male,**/**/****,$5514.96
"Boden, Norrbotten, Sweden",Male,**/**/****,$3003.76
"Boden, Norrbotten, Sweden",Male,**/**/****,$2161.64
"*, *, Portugal",Female,**/**/2005,$6289.95
"*, *, Portugal",Female,**/**/2005,$1213.00
"*, *, Portugal",Male,**/**/2007,$7313.37
"*, *, Portugal",Male,**/**/2007,$7833.82
"*, *, *",Female,**/10/1984,$2809.72
"*, *, *",Female,**/10/1984,$2076.62
"*, Île-de-France, France",Female,**/**/1993,$4480.55
"*, Île-de-France, France",Female,**/**/1993,$6649.25
"*, Västra Götaland, Sweden",*,**/03/1994,$5726.93
"*, Västra Götaland, Sweden",*,**/03/1994,$7586.61
"*, *, *",Female,15/03/2004,$5798.07
"*, *, *",Female,15/03/2004,$5477.25
"*, Manitoba, Canada",Male,**/**/****,$6289.41
"*, Manitoba, Canada",Male,**/**/****,$7376.21
"*, *, *",Male,06/10/1986,$825.82
"*, *, *",Male,06/10/1986,$5150.96
"*, *, United States",Female,**/08/2008,$1320.94
"*, *, United States",Female,**/08/2008,$3720.58
"New Haven, Connecticut, United States",Female,**/**/****,$1899.31
"New Haven, Connecticut, United States",Female,**/**/****,$4441.41
"*, *, France",Male,**/10/1989,$1655.67
"*, *, France",Male,**/10/1989,$5459.27
"*, *, Sweden",Female,**/01/1985,$5238.49
"*, *, Sweden",Female,**/01/1985,$4250.40
"*, *, Portugal",Male,**/**/1999,$5979.17
"*, *, Portugal",Male,**/**/1999,$2534.88
"*, *, *",Female,**/11/1980,$1366.21
"*, *, *",Female,**/11/1980,$4178.43
"*, *, United States",Female,**/**/2005,$1112.80
"*, *, United States",Female,**/**/2005,$3112.29
"*, Ontario, Canada",Male,**/**/1995,$6983.95
"*, Ontario, Canada",Male,**/**/1995,$6383.39
"*, Scotland, United Kingdom",Female,**/**/****,$809.15
"*, Scotland, United Kingdom",Female,**/**/****,$2367.97
"*, *, Mexico",Male,**/**/1991,$5747.87
"*, *, Mexico",Male,**/**/1991,$3076.92
"*, Michigan, United States",Male,**/**/****,$1175.28
"*, Michigan, United States",Male,**/**/****,$6235.09
"*, *, France",*,**/03/1986,$3988.74
"*, *, France",*,**/03/1986,$976.45
"*, *, United States",Female,**/**/2009,$805.10
"*, *, United States",Female,**/**/2009,$4689.02
"*, *, *",Male,**/08/2000,$4477.79
"*, *, *",Male,**/08/2000,$4095.50
"*, Västerbotten, Sweden",Male,**/**/1999,$3109.94
"*, Västerbotten, Sweden",Male,**/**/1999,$1611.42
"*, Île-de-France, France",Male,**/**/2006,$1492.88
"*, Île-de-France, France",Male,**/**/2006,$7825.33
"*, Viseu, Portugal",Female,**/**/1987,$1367.51
"*, Viseu, Portugal",Female,**/**/1987,$7760.46
"*, Västra Götaland, Sweden",Female,**/12/1984,$2350.70
"*, Västra Götaland, Sweden",Female,**/12/1984,$5701.55
"*, Västra Götaland, Sweden",*,**/01/1987,$5039.13
"*, Västra Götaland, Sweden",*,**/01/1987,$1919.83
"*, *, *",Female,**/06/1983,$5469.92
"*, *, *",Female,**/06/1983,$3201.71
"*, *, France",Male,**/**/1984,$1742.83
"*, *, France",Male,**/**/1984,$3466.43
"*, *, *",Male,**/11/1985,$2816.85
"*, *, *",Male,**/11/1985,$6436.46
"*, Alberta, Canada",Male,**/**/****,$5387.93
"*, Alberta, Canada",Male,**/**/****,$4910.20
"*, Västra Götaland, Sweden",Female,**/**/1992,$6651.08
"*, Västra Götaland, Sweden",Female,**/**/1992,$5268.12
"*, Stockholm, Sweden",Female,**/**/****,$3765.74
"*, Stockholm, Sweden",Female,**/**/****,$4391.85
"*, *, France",Female,**/**/2007,$6827.27
"*, *, France",Female,**/**/2007,$7418.79
"Francisco Villa, Veracruz Llave, Mexico",Male,**/**/****,$4663.81
